name;id;url;promo_price;regular_price;manufacturer
Вода Липецкая Лайт негазированная, 1.5л;573553;/products/voda-lipeckaya-rosinka-lajt-negazirovannaya-15l;37.9;44.99;ЛИПЕЦКАЯ
Вода Святой Источник газированная, 1л;554691;/products/svyatoj-istochnik-gazirovannaya-pet-1l;49.49;49.49;СВЯТОЙ ИСТОЧНИК
Напиток Borjomi Flavored с ароматом дикой земляники и экстрактом артемизии газированный, 330мл;585106;/products/napitok-borjomi-flavored-water-zemdyanika-travy-bez-sahara-330-ml;64.9;95.9;BORJOMI
Вода Legend of Baikal газированная, 750мл;637900;/products/075-l-legend-of-baikal-st-gaz-125693;119;136;LEGEND OF BAIKAL
Вода Sairme родниковая негазированная, 500мл;246426;/products/sairme-rodnikovaya-negazirovannaya-05-l;122;122;SAIRME
Вода Святой Источник негазированная лимон, 1.5л;642415;/products/svyatoj-istochnik-negazirovannaya-limon-15l;74.9;82.9;СВЯТОЙ ИСТОЧНИК
Вода Шишкин лес негазированная спорт, 400мл;184480;/products/shishkin-les-sport-negazirovannaya-04-l;31.9;47.5;ШИШКИН ЛЕС
Вода Sairme Родники негазированная, 1л;655441;/products/1l-sairme-rodniki-b-g-pet-131481;91.9;91.9;SAIRME
Вода Эдельвейс минеральная газированная, 1.5л;142040;/products/edelvejs-gazirovannaya-15l-473979;53.9;53.9;ЭДЕЛЬВЕЙС
Вода Калинов Родник негазированная, 1.5л;122550;/products/kalinov-rodnik-negazirovannaya-15l;32.9;41.5;КАЛИНОВ РОДНИК
Вода Tassay питьевая газированная, 500мл;420179;/products/tassay-gazirovannaya-pet-05-l;51.9;51.9;TASSAY
Вода Черноголовка газированная, 1.5л;450744;/products/art-566304;43.49;43.49;ЧЕРНОГОЛОВКА
Вода минеральная Набеглави газированная, 500мл;604906885;/products/voda-mineralnaya-nabeglavi-gazirovannaya-500ml;64.9;85.9;НАБЕГЛАВИ
Вода Липецкая минеральная столовая газированная, 1.5л;574184;/products/mineralnaya-lipeckaya-rosinka-gazirovannaya-15l;37.9;44.99;ЛИПЕЦКАЯ
Вода Edis газированная, 500мл;321643802;/products/05l-voda-edis-gaz-st-208549;155;155;EDIS
RIOBA Вода газированная, 330мл;414688;/products/art-568824;53.9;53.9;RIOBA
Вода Gletcher природная негазированная, 500мл;217795021;/products/05l-voda-prirodnaya-pitevaya-gletcher-negaz-pet-203705;119;119;GLETCHER
Вода детская Черноголовка Бейби негазированная, 2.5л;649550;/products/loson-nivea-sun-uvlazhnyayuschij-posle-zagara-s-aloe-vera-200ml;88.9;88.9;ЧЕРНОГОЛОВКА
Вода Legend of Baikal питьевая газированная, 500мл;636374;/products/gazirovannaya-legend-of-baikal-steklo-05-l-125533;118;118;LEGEND OF BAIKAL
Вода Baikal Pearl негазированная, 530мл;6694025;/products/zhemchuzhina-bajkala-negazirovannaya-530ml;139;139;BAIKAL PEARL
